0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,86.93711088251631,163.77205182933764,222.2969940217162,219.1110502378099,133.29631329588776,130.001668046463,124.80449156712588,124.88285344243879,185.23872462859026,218.77941125270107,283.51400488960843,31.155606247186324,145.5838855986897,221.17030770490325,47.54164721295244,132.1760445000651,160.958223805886,258.62281444718457,155.6103801344282
86.93711088251631,0.0,187.28190091357837,153.11357326021178,253.30264003896866,152.53988572398984,150.86170019550008,106.64376824761628,127.86984340149951,166.64114922724647,235.18051981540216,276.59521548155294,89.75775189504758,164.50968106442332,204.78006210072303,124.8904704409738,157.76227466460145,240.9531699251121,272.3758544502765,148.80331432695382
163.77205182933764,187.28190091357837,0.0,203.8877621032433,67.36496413484076,34.76699809383153,36.76584298983027,92.70643557522101,62.42005113337793,85.15026173085353,55.250875756799005,131.99653514120365,132.85603747949085,22.999593155117005,96.74977021599395,132.98664129497516,31.912861634278226,162.60852055893497,95.05269175576518,62.14096008768747
222.2969940217162,153.11357326021178,203.8877621032433,0.0,263.21160336607556,182.36349340509753,184.05804409319296,125.32874339395912,153.92429995971563,124.96575988063672,220.55738976713127,208.4293937665161,206.09437493398684,186.38113144499317,144.21469576257857,238.7013695927461,193.2491352817928,335.98210403944483,241.94942633084736,141.8024241049144
219.1110502378099,253.30264003896866,67.36496413484076,263.21160336607556,0.0,101.31383457655227,102.62659139245034,159.67248508773642,129.7767847179986,138.71282560313728,50.35850341326892,130.96409405212972,189.73234810658482,90.2765667496205,133.33500232570023,180.2005645917403,95.55755909201396,164.729098414675,68.0410462021469,124.96460312254673
133.29631329588776,152.53988572398984,34.76699809383153,182.36349340509753,101.31383457655227,0.0,3.752643472480606,62.38831859982892,30.75430671669546,77.06468880885019,86.7327919949338,152.84109655151917,102.14075912436624,12.667641984488181,101.66110994171027,108.57617589039107,11.04660769302736,163.16442955557096,126.27482034157396,45.35250689941141
130.001668046463,150.86170019550008,36.76584298983027,184.05804409319296,102.62659139245034,3.752643472480606,0.0,62.940354719993714,31.360608623911922,80.3141595781829,89.61046214510984,156.5048147165851,98.84903527187281,15.625627347903693,105.33963586036454,104.86908457626812,9.32239762910245,160.1689581327972,129.25192848557472,48.267779640491014
124.80449156712588,106.64376824761628,92.70643557522101,125.32874339395912,159.67248508773642,62.38831859982892,62.940354719993714,0.0,31.641417269844073,63.107980548184194,132.13750429704385,170.90961530543197,98.33012744707932,70.60972436505314,101.13944012064835,123.29986058363156,72.19607438583365,210.9572643984374,167.37237312865648,42.34855710092908
124.88285344243879,127.86984340149951,62.42005113337793,153.92429995971563,129.7767847179986,30.75430671669546,31.360608623911922,31.641417269844073,0.0,63.724809876609854,107.31861852277336,159.42754023341612,94.82704395548714,39.69851863157096,96.96867228312951,111.33103842885188,40.65780183805978,185.33499654842294,144.99902682573543,31.367799043960645
185.23872462859026,166.64114922724647,85.15026173085353,124.96575988063672,138.71282560313728,77.06468880885019,80.3141595781829,63.107980548184194,63.724809876609854,0.0,95.92929153872834,110.31701015061068,156.5430209095735,74.49402044012682,38.29680390281473,175.05313168033112,87.34691444811969,239.94822994168646,121.74080579852085,33.27923273257176
