instance,baseline_makespan,hybrid_makespan,improvement_percent
singlecenter-1-n5,161.7837912856009,161.7837912856009,0.0
singlecenter-51-n10,331.73125361852067,331.73125361852067,0.0
singlecenter-61-n20,501.0988374239235,452.57695394800265,9.683096397781487
singlecenter-71-n50,436.2777565526641,376.7231394728058,13.65061963058602
