iteration,current_cost,candidate_cost,best_cost,temperature,feasible
1,1085.1319155104015,1233.317274425659,1085.1319155104015,500.0,True
2,1085.1319155104015,1271.4173305397385,1085.1319155104015,497.5,True
3,1195.1139634311328,1195.1139634311328,1085.1319155104015,495.0125,True
4,1195.1139634311328,1533.1954445531683,1085.1319155104015,492.5374375,True
5,1195.1139634311328,1407.7110689504466,1085.1319155104015,490.0747503125,True
6,1236.8569213889302,1236.8569213889302,1085.1319155104015,487.6243765609375,True
7,1236.8569213889302,1422.603869869043,1085.1319155104015,485.1862546781328,True
8,1327.4847918993744,1327.4847918993744,1085.1319155104015,482.7603234047421,True
9,1519.5306601264008,1519.5306601264008,1085.1319155104015,480.3465217877184,True
10,1737.1585239340034,1737.1585239340034,1085.1319155104015,477.94478917877984,False
11,1737.1585239340034,1879.3407147853748,1085.1319155104015,475.55506523288597,False
12,1804.7176929765126,1804.7176929765126,1085.1319155104015,473.1772899067215,False
13,2062.8502815375577,2062.8502815375577,1085.1319155104015,470.8114034571879,False
14,2187.000276430156,2187.000276430156,1085.1319155104015,468.457346439902,False
15,2332.3091261272916,2332.3091261272916,1085.1319155104015,466.11505970770247,False
16,2334.2533796913276,2334.2533796913276,1085.1319155104015,463.78448440916395,False
17,2157.021939689901,2157.021939689901,1085.1319155104015,461.4655619871181,False
18,2149.329219359365,2149.329219359365,1085.1319155104015,459.1582341771825,False
19,2235.9021779182303,2235.9021779182303,1085.1319155104015,456.8624430062966,False
20,2429.629348997307,2429.629348997307,1085.1319155104015,454.5781307912651,False
21,2474.2344989430076,2474.2344989430076,1085.1319155104015,452.3052401373088,True
22,2296.566333116739,2296.566333116739,1085.1319155104015,450.0437139366222,True
23,2288.0495866140036,2288.0495866140036,1085.1319155104015,447.7934953669391,True
24,2329.2749066664273,2329.2749066664273,1085.1319155104015,445.5545278901044,True
25,2322.1826954982344,2322.1826954982344,1085.1319155104015,443.3267552506539,True
26,2367.344729725327,2367.344729725327,1085.1319155104015,441.1101214744006,True
27,2173.427139918852,2173.427139918852,1085.1319155104015,438.9045708670286,True
28,2163.123709491808,2163.123709491808,1085.1319155104015,436.71004801269345,True
29,2173.852618408825,2173.852618408825,1085.1319155104015,434.52649777262997,True
30,2173.852618408825,2304.44257677797,1085.1319155104015,432.3538652837668,True
31,2223.657435058809,2223.657435058809,1085.1319155104015,430.192095957348,True
32,2057.572945556268,2057.572945556268,1085.1319155104015,428.0411354775612,True
33,2010.6986268329042,2010.6986268329042,1085.1319155104015,425.9009298001734,True
34,2086.541221717848,2086.541221717848,1085.1319155104015,423.77142515117254,True
35,2080.4062669263176,2080.4062669263176,1085.1319155104015,421.65256802541666,True
36,2080.4062669263176,2418.116694327333,1085.1319155104015,419.54430518528955,False
37,2080.4062669263176,2240.2844015939218,1085.1319155104015,417.4465836593631,True
38,2080.4062669263176,2181.750169268109,1085.1319155104015,415.3593507410663,False
39,2080.7404649545706,2080.7404649545706,1085.1319155104015,413.282553987361,True
40,2120.1856771465727,2120.1856771465727,1085.1319155104015,411.2161412174242,True
41,2129.481802184593,2129.481802184593,1085.1319155104015,409.16006051133706,True
42,2136.077440443146,2136.077440443146,1085.1319155104015,407.11426020878037,True
43,2182.6270206137333,2182.6270206137333,1085.1319155104015,405.0786889077365,True
44,2260.3310803040604,2260.3310803040604,1085.1319155104015,403.0532954631978,True
45,2268.633244283923,2268.633244283923,1085.1319155104015,401.0380289858818,True
46,2282.0795924302283,2282.0795924302283,1085.1319155104015,399.03283884095237,False
47,2362.961604007792,2362.961604007792,1085.1319155104015,397.0376746467476,False
48,2377.7767235884025,2377.7767235884025,1085.1319155104015,395.05248627351386,False
49,2361.6312303572936,2361.6312303572936,1085.1319155104015,393.0772238421463,False
50,2481.8501036681246,2481.8501036681246,1085.1319155104015,391.11183772293555,False
51,2481.8501036681246,2481.8501036681246,1085.1319155104015,389.15627853432085,False
52,2455.5517596109926,2455.5517596109926,1085.1319155104015,387.2104971416492,True
53,2450.541084180765,2450.541084180765,1085.1319155104015,385.27444465594095,True
54,2452.2887584288897,2452.2887584288897,1085.1319155104015,383.34807243266124,True
55,2483.92296470959,2483.92296470959,1085.1319155104015,381.43133207049794,True
56,2498.215598932549,2498.215598932549,1085.1319155104015,379.52417541014546,True
57,2472.5275497562207,2472.5275497562207,1085.1319155104015,377.62655453309475,True
58,2469.206197701441,2469.206197701441,1085.1319155104015,375.7384217604293,True
59,2486.380647329389,2486.380647329389,1085.1319155104015,373.8597296516271,True
60,2447.7258277356036,2447.7258277356036,1085.1319155104015,371.990431003369,True
61,2340.0070168016723,2340.0070168016723,1085.1319155104015,370.13047884835214,True
62,2299.0151341476685,2299.0151341476685,1085.1319155104015,368.2798264541104,True
63,2342.13263306169,2342.13263306169,1085.1319155104015,366.4384273218398,True
64,2342.13263306169,2461.007003549661,1085.1319155104015,364.6062351852306,True
65,2303.5662839471056,2303.5662839471056,1085.1319155104015,362.7832040093045,True
66,2241.7385786644454,2241.7385786644454,1085.1319155104015,360.96928798925796,True
67,2241.7385786644454,2425.51268681659,1085.1319155104015,359.1644415493117,False
68,2353.467261289741,2353.467261289741,1085.1319155104015,357.36861934156514,True
69,2228.6612880184384,2228.6612880184384,1085.1319155104015,355.5817762448573,True
70,2252.1951688267563,2252.1951688267563,1085.1319155104015,353.803867363633,False
71,2201.1770299402715,2201.1770299402715,1085.1319155104015,352.0348480268148,False
72,2239.8072584648094,2239.8072584648094,1085.1319155104015,350.27467378668075,True
73,2143.808507030785,2143.808507030785,1085.1319155104015,348.52330041774735,True
74,2273.5781474860228,2273.5781474860228,1085.1319155104015,346.7806839156586,True
75,2308.401980415504,2308.401980415504,1085.1319155104015,345.0467804960803,True
76,2220.2488441637342,2220.2488441637342,1085.1319155104015,343.3215465935999,True
77,2334.942009160704,2334.942009160704,1085.1319155104015,341.60493886063193,True
78,2387.820255820577,2387.820255820577,1085.1319155104015,339.89691416632877,True
79,2377.8042508164735,2377.8042508164735,1085.1319155104015,338.1974295954971,True
80,2380.2027016020575,2380.2027016020575,1085.1319155104015,336.50644244751965,True
81,2363.7674969709415,2363.7674969709415,1085.1319155104015,334.823910235282,True
82,2518.080932186542,2518.080932186542,1085.1319155104015,333.1497906841056,True
83,2332.9313812637815,2332.9313812637815,1085.1319155104015,331.4840417306851,True
84,2378.8475342542656,2378.8475342542656,1085.1319155104015,329.82662152203164,True
85,2474.915432235692,2474.915432235692,1085.1319155104015,328.1774884144215,True
86,2549.5909929112768,2549.5909929112768,1085.1319155104015,326.5366009723494,True
87,2210.8321836189357,2210.8321836189357,1085.1319155104015,324.90391796748764,True
88,2210.8321836189357,2569.77492828721,1085.1319155104015,323.2793983776502,True
89,2227.4656786615237,2227.4656786615237,1085.1319155104015,321.6630013857619,True
90,2247.4935954336356,2247.4935954336356,1085.1319155104015,320.0546863788331,True
91,2099.858963493919,2099.858963493919,1085.1319155104015,318.45441294693893,True
92,2363.8832120385805,2363.8832120385805,1085.1319155104015,316.86214088220424,True
93,2320.550421209973,2320.550421209973,1085.1319155104015,315.27783017779325,True
94,2227.425887968039,2227.425887968039,1085.1319155104015,313.70144102690426,True
95,2162.4106861541077,2162.4106861541077,1085.1319155104015,312.13293382176977,True
96,2218.6777956252113,2218.6777956252113,1085.1319155104015,310.5722691526609,True
97,2096.602961100094,2096.602961100094,1085.1319155104015,309.0194078068976,True
98,2107.802677153939,2107.802677153939,1085.1319155104015,307.47431076786313,True
99,2123.6743891783563,2123.6743891783563,1085.1319155104015,305.9369392140238,True
100,2123.6743891783563,2176.8939927857646,1085.1319155104015,304.4072545179537,True
101,2193.762099840867,2193.762099840867,1085.1319155104015,302.8852182453639,True
102,2193.762099840867,2373.4843431044014,1085.1319155104015,301.37079215413706,False
103,2193.762099840867,2395.396706519983,1085.1319155104015,299.8639381933664,True
104,2255.7977819728358,2255.7977819728358,1085.1319155104015,298.36461850239954,False
105,2113.143084215076,2113.143084215076,1085.1319155104015,296.87279540988754,True
106,2187.8184751489034,2187.8184751489034,1085.1319155104015,295.3884314328381,True
107,2187.8184751489034,2327.7718742367974,1085.1319155104015,293.9114892756739,True
108,2142.1379708618006,2142.1379708618006,1085.1319155104015,292.4419318292955,True
109,2055.9957424843715,2055.9957424843715,1085.1319155104015,290.97972217014905,True
110,2275.273663353097,2275.273663353097,1085.1319155104015,289.5248235592983,True
111,2307.0543964272865,2307.0543964272865,1085.1319155104015,288.0771994415018,True
112,2351.9459612217406,2351.9459612217406,1085.1319155104015,286.6368134442943,True
113,2351.9459612217406,2528.676463734201,1085.1319155104015,285.20362937707284,True
114,2351.9459612217406,2365.8339784156724,1085.1319155104015,283.77761123018746,True
115,2351.9459612217406,2458.921773293435,1085.1319155104015,282.3587231740365,True
116,2351.9459612217406,2528.676463734201,1085.1319155104015,280.94692955816635,True
117,2404.266414611283,2404.266414611283,1085.1319155104015,279.5421949103755,True
118,2404.266414611283,2473.124079074294,1085.1319155104015,278.1444839358236,True
119,2404.266414611283,2505.644159921319,1085.1319155104015,276.7537615161445,False
120,2404.266414611283,2486.9181680186475,1085.1319155104015,275.36999270856376,True
121,2447.4560011732046,2447.4560011732046,1085.1319155104015,273.9931427450209,True
122,2447.4560011732046,2538.702136408955,1085.1319155104015,272.6231770312958,True
123,2436.093966453627,2436.093966453627,1085.1319155104015,271.2600611461393,True
124,2295.2144903415547,2295.2144903415547,1085.1319155104015,269.9037608404086,True
125,2316.7143625184685,2316.7143625184685,1085.1319155104015,268.5542420362066,True
126,2184.6420743040576,2184.6420743040576,1085.1319155104015,267.21147082602556,True
127,2284.768024166514,2284.768024166514,1085.1319155104015,265.87541347189546,True
128,2322.60917199596,2322.60917199596,1085.1319155104015,264.546036404536,True
129,2322.60917199596,2453.205620892231,1085.1319155104015,263.2233062225133,True
130,2286.210381253298,2286.210381253298,1085.1319155104015,261.90718969140073,True
131,2356.441688725752,2356.441688725752,1085.1319155104015,260.59765374294375,True
132,2297.73435264978,2297.73435264978,1085.1319155104015,259.294665474229,False
133,2400.6318306462276,2400.6318306462276,1085.1319155104015,257.9981921468579,False
134,2462.1666788109396,2462.1666788109396,1085.1319155104015,256.7082011861236,False
135,2462.1666788109396,2595.7626440656354,1085.1319155104015,255.42466018019294,False
136,2615.6188335553406,2615.6188335553406,1085.1319155104015,254.14753687929198,False
137,2428.699697628056,2428.699697628056,1085.1319155104015,252.8767991948955,False
138,2314.4875602017887,2314.4875602017887,1085.1319155104015,251.61241519892104,True
139,2307.0394460495772,2307.0394460495772,1085.1319155104015,250.35435312292643,True
140,2357.12753877993,2357.12753877993,1085.1319155104015,249.1025813573118,True
141,2413.8009906597204,2413.8009906597204,1085.1319155104015,247.85706845052525,True
142,2581.762973861591,2581.762973861591,1085.1319155104015,246.61778310827262,False
143,2411.5497999952345,2411.5497999952345,1085.1319155104015,245.38469419273125,False
144,2267.318017846368,2267.318017846368,1085.1319155104015,244.15777072176758,False
145,2278.619841810584,2278.619841810584,1085.1319155104015,242.93698186815874,False
146,2205.1799862249877,2205.1799862249877,1085.1319155104015,241.72229695881794,False
147,2225.976066472702,2225.976066472702,1085.1319155104015,240.51368547402384,False
148,2225.976066472702,2394.489742939901,1085.1319155104015,239.31111704665372,True
149,2225.976066472702,2225.976066472702,1085.1319155104015,238.11456146142046,False
150,2167.7299034685907,2167.7299034685907,1085.1319155104015,236.92398865411337,True
151,2105.0019020412246,2105.0019020412246,1085.1319155104015,235.7393687108428,True
152,2105.0019020412246,2349.5715889914213,1085.1319155104015,234.5606718672886,True
153,1931.4441173956104,1931.4441173956104,1085.1319155104015,233.38786850795213,True
154,1931.4441173956104,2118.9871816428404,1085.1319155104015,232.22092916541237,True
155,1894.881874433832,1894.881874433832,1085.1319155104015,231.0598245195853,True
156,1822.6783593771324,1822.6783593771324,1085.1319155104015,229.90452539698737,True
157,2017.322965246114,2017.322965246114,1085.1319155104015,228.75500277000242,True
158,2017.322965246114,2267.5559382380648,1085.1319155104015,227.6112277561524,True
159,2053.9403257216436,2053.9403257216436,1085.1319155104015,226.47317161737163,True
160,2053.9403257216436,2078.0059150942375,1085.1319155104015,225.34080575928476,True
161,2188.943176977496,2188.943176977496,1085.1319155104015,224.21410173048835,True
162,2188.943176977496,2188.943176977496,1085.1319155104015,223.0930312218359,True
163,2351.99351142899,2351.99351142899,1085.1319155104015,221.97756606572673,True
164,2326.0892955614104,2326.0892955614104,1085.1319155104015,220.8676782353981,True
165,2318.1507318706826,2318.1507318706826,1085.1319155104015,219.76333984422112,False
166,2318.1507318706826,2410.822963384304,1085.1319155104015,218.664523145,False
167,2294.3506405345383,2294.3506405345383,1085.1319155104015,217.571200529275,True
168,2280.649214476517,2280.649214476517,1085.1319155104015,216.48334452662863,True
169,2280.649214476517,2481.740607081274,1085.1319155104015,215.40092780399547,False
170,2280.649214476517,2330.0870732414537,1085.1319155104015,214.3239231649755,True
171,2391.749698555739,2391.749698555739,1085.1319155104015,213.2523035491506,True
172,2316.596143756831,2316.596143756831,1085.1319155104015,212.18604203140487,True
173,2345.3944868486233,2345.3944868486233,1085.1319155104015,211.12511182124783,True
174,2299.2706452976636,2299.2706452976636,1085.1319155104015,210.0694862621416,True
175,2238.1246824908226,2238.1246824908226,1085.1319155104015,209.01913883083088,True
176,2254.839352966564,2254.839352966564,1085.1319155104015,207.97404313667673,True
177,2431.164788530469,2431.164788530469,1085.1319155104015,206.93417292099335,False
178,2464.269066504007,2464.269066504007,1085.1319155104015,205.89950205638837,False
179,2449.1880954706526,2449.1880954706526,1085.1319155104015,204.87000454610643,False
180,2477.8816036902713,2477.8816036902713,1085.1319155104015,203.84565452337588,False
181,2369.9322326577144,2369.9322326577144,1085.1319155104015,202.826426250759,False
182,2578.4272882028936,2578.4272882028936,1085.1319155104015,201.8122941195052,False
183,2514.3871239580876,2514.3871239580876,1085.1319155104015,200.80323264890768,True
184,2539.301311202351,2539.301311202351,1085.1319155104015,199.79921648566315,True
185,2507.9094159821784,2507.9094159821784,1085.1319155104015,198.80022040323485,True
186,2575.6534292869046,2575.6534292869046,1085.1319155104015,197.80621930121868,True
187,2462.7096881993007,2462.7096881993007,1085.1319155104015,196.81718820471258,True
188,2462.7096881993007,2514.118872777734,1085.1319155104015,195.83310226368903,False
189,2574.294448229387,2574.294448229387,1085.1319155104015,194.85393675237057,True
190,2420.0797306881136,2420.0797306881136,1085.1319155104015,193.8796670686087,True
191,2383.5464535022966,2383.5464535022966,1085.1319155104015,192.91026873326567,True
192,2414.112681936836,2414.112681936836,1085.1319155104015,191.94571738959934,True
193,2421.3428468675675,2421.3428468675675,1085.1319155104015,190.98598880265135,True
194,2502.8388197125914,2502.8388197125914,1085.1319155104015,190.0310588586381,True
195,2525.916921849119,2525.916921849119,1085.1319155104015,189.0809035643449,True
196,2609.0358075578642,2609.0358075578642,1085.1319155104015,188.1354990465232,True
197,2645.0652813221036,2645.0652813221036,1085.1319155104015,187.19482155129057,True
198,2656.2092763869073,2656.2092763869073,1085.1319155104015,186.2588474435341,True
199,2656.2092763869073,2656.2092763869073,1085.1319155104015,185.32755320631642,True
200,2656.2092763869073,2787.8550370038515,1085.1319155104015,184.40091544028485,False
201,2645.6193903166786,2645.6193903166786,1085.1319155104015,183.47891086308343,False
202,2646.055241117449,2646.055241117449,1085.1319155104015,182.561516308768,False
203,2575.522201733934,2575.522201733934,1085.1319155104015,181.64870872722418,False
204,2557.1080536709064,2557.1080536709064,1085.1319155104015,180.74046518358804,False
205,2504.736335727795,2504.736335727795,1085.1319155104015,179.8367628576701,False
206,2478.299632922703,2478.299632922703,1085.1319155104015,178.93757904338173,False
207,2418.4331972823484,2418.4331972823484,1085.1319155104015,178.0428911481648,False
208,2422.4090012995393,2422.4090012995393,1085.1319155104015,177.152676692424,False
