instance,node_count,initial_makespan,ig_sa_makespan,improvement_percent,initial_feasible,ig_sa_feasible,initial_runtime_sec,ig_sa_runtime_sec,battery_capacity,initial_penalized_objective,ig_sa_penalized_objective,initial_battery_violation,ig_sa_battery_violation,alpha,scenario,paper_ig_avg_rpd,paper_ig_avg_time,runtime_ratio_our_vs_paper
singlecenter-1-n5,5,385.1449076504406,385.1449076504406,0.0,True,True,0.0,0.2274887561798095,246.3009012229274,385.1449076504406,385.1449076504406,0.0,0.0,1,1-center,0.5,0.1,2.274887561798095
singlecenter-51-n10,10,697.4779730151847,697.4779730151847,0.0,True,True,0.0015099048614501,0.7589728832244873,289.76705764543664,697.4779730151847,697.4779730151847,0.0,0.0,1,1-center,1.3,0.6,1.2649548053741455
singlecenter-61-n20,20,1085.1319155104015,1085.1319155104015,0.0,True,True,0.0086748600006103,3.1289868354797363,258.86345445955635,1085.1319155104015,1085.1319155104015,0.0,0.0,1,1-center,4.4,3.6,0.8691630098554823
singlecenter-71-n50,50,1326.555608345077,1326.555608345077,0.0,True,True,0.2111067771911621,38.52391004562378,218.04398137811592,1326.555608345077,1326.555608345077,0.0,0.0,1,1-center,0.8,49.1,0.78460101925914
