iteration,current_cost,candidate_cost,best_cost,temperature,selected_operator,random_weight,worst_position_weight,zone_based_weight,feasible
1,1085.1319155104015,1085.1319155104015,1085.1319155104015,95.0,worst_position,0.33444816053511706,0.3311036789297659,0.33444816053511706,True
2,1126.2279552469367,1126.2279552469367,1085.1319155104015,90.25,random,0.33221476510067116,0.33221476510067116,0.33557046979865773,True
3,1126.2279552469367,1126.2279552469367,1085.1319155104015,85.7375,worst_position,0.3333221103666543,0.32998888926298775,0.33668900037035787,True
4,1126.2279552469367,1198.8809555242174,1085.1319155104015,81.45062499999999,zone_based,0.33444816053511706,0.3311036789297659,0.334448160535117,True
5,1126.2279552469367,1126.2279552469367,1085.1319155104015,77.37809374999999,zone_based,0.33557046979865773,0.33221476510067116,0.3322147651006711,True
6,1085.1319155104015,1085.1319155104015,1085.1319155104015,73.50918906249998,zone_based,0.3366890003703579,0.3333221103666543,0.32998888926298775,True
7,1126.1475000129349,1126.1475000129349,1085.1319155104015,69.83372960937498,random,0.33444816053511706,0.33444816053511706,0.3311036789297659,True
8,1126.987615568678,1126.987615568678,1085.1319155104015,66.34204312890623,zone_based,0.3355592094225026,0.3355592094225026,0.3288815811549948,True
9,1126.987615568678,1198.8809555242174,1085.1319155104015,63.02494097246091,random,0.3333221103666543,0.33668900037035787,0.32998888926298775,True
10,1132.6968576779734,1132.6968576779734,1085.1319155104015,59.87369392383786,random,0.33109249375042227,0.33781501249915546,0.33109249375042227,True
11,1126.987615568678,1126.987615568678,1085.1319155104015,56.880009227645964,random,0.32887043413450184,0.33893720815388023,0.33219235771161804,True
12,1126.987615568678,1126.987615568678,1085.1319155104015,54.03600876626366,worst_position,0.3299888892629878,0.33668900037035787,0.3333221103666544,True
13,1126.987615568678,1126.987615568678,1085.1319155104015,51.33420832795048,random,0.3277706069555812,0.33780371509769785,0.33442567794672096,True
14,1126.987615568678,1126.987615568678,1085.1319155104015,48.76749791155295,zone_based,0.32887043413450184,0.3389372081538802,0.33219235771161804,True
15,1126.987615568678,1126.987615568678,1085.1319155104015,46.3291230159753,zone_based,0.32996655782259254,0.34006688435481486,0.32996655782259254,True
16,1126.987615568678,1126.987615568678,1085.1319155104015,44.012666865176534,random,0.32774835220044274,0.3411927061829485,0.3310589416166088,True
17,1126.987615568678,1126.987615568678,1085.1319155104015,41.812033521917705,zone_based,0.32883699648063536,0.3423260070387293,0.32883699648063536,True
18,1126.987615568678,1126.987615568678,1085.1319155104015,39.72143184582182,zone_based,0.329921901753092,0.34345541551134684,0.32662268273556105,True
19,1126.987615568678,1126.987615568678,1085.1319155104015,37.73536025353073,worst_position,0.3310589416166088,0.34119270618294845,0.3277483522004427,True
20,1107.82354527347,1107.82354527347,1085.1319155104015,35.84859224085419,zone_based,0.3321475497377484,0.3423146367642843,0.32553781349796723,True
21,1107.82354527347,1107.82354527347,1085.1319155104015,34.05616262881148,worst_position,0.3332884448671728,0.34005555031851104,0.32665600481431606,True
22,1107.82354527347,1107.82354527347,1085.1319155104015,32.3533544973709,worst_position,0.334425677946721,0.3378037150976978,0.32777060695558125,True
23,1107.82354527347,1107.82354527347,1085.1319155104015,30.735686772502355,random,0.33219235771161804,0.33893720815388007,0.32887043413450184,True
24,1107.82354527347,1159.4917163441987,1085.1319155104015,29.198902433877237,worst_position,0.3333221103666544,0.33668900037035776,0.3299888892629878,True
