instance,node_count,initial_makespan,ig_sa_makespan,improvement_percent,initial_feasible,ig_sa_feasible,initial_runtime_sec,ig_sa_runtime_sec,battery_capacity,initial_penalized_objective,ig_sa_penalized_objective,initial_battery_violation,ig_sa_battery_violation,alpha
singlecenter-1-n5,5,385.1449076504406,385.1449076504406,0.0,True,True,0.0,0.21784019470214844,246.3009012229274,385.1449076504406,385.1449076504406,0.0,0.0,0.5
singlecenter-51-n10,10,697.4779730151847,697.4779730151847,0.0,True,True,0.000990152359008789,0.7651808261871338,289.76705764543664,697.4779730151847,697.4779730151847,0.0,0.0,0.5
singlecenter-61-n20,20,1085.1319155104015,1085.1319155104015,0.0,True,True,0.0,3.2944295406341553,258.86345445955635,1085.1319155104015,1085.1319155104015,0.0,0.0,0.5
singlecenter-71-n50,50,1326.555608345077,1326.555608345077,0.0,True,True,0.19181370735168457,22.77318263053894,218.04398137811592,1326.555608345077,1326.555608345077,0.0,0.0,0.5
